,ano,uf,mortos,feridos,ilesos
177,2013,PE,404,4247,11410
178,2013,PI,200,1698,3924
179,2013,PR,750,11565,29810
180,2013,RJ,564,7265,27016
181,2013,RN,208,2048,6019
182,2013,RO,130,2348,5083
183,2013,RR,33,358,449
184,2013,RS,489,6728,24807
185,2013,SC,506,10619,27939
186,2013,SE,101,862,2229
187,2013,SP,381,5698,20682
188,2013,TO,110,958,1995
189,2014,AC,32,396,633
190,2014,AL,149,1192,1758
191,2014,AM,18,123,279
192,2014,AP,10,248,453
193,2014,BA,794,6424,14844
194,2014,CE,291,2304,5314
195,2014,DF,46,1149,1754
196,2014,ES,279,4499,11692
197,2014,GO,468,4814,9639
198,2014,MA,317,1769,3665
199,2014,MG,1163,16057,27612
200,2014,MS,226,2372,4771
201,2014,MT,282,2870,5969
202,2014,PA,195,1667,5103
203,2014,PB,182,2383,4746
204,2014,PE,425,3975,11173
205,2014,PI,228,1600,3723
206,2014,PR,778,11406,24002
207,2014,RJ,537,7205,24280
208,2014,RN,150,1951,5403
209,2014,RO,103,2175,4208
210,2014,RR,30,302,481
211,2014,RS,507,6277,22978
212,2014,SC,536,10708,26020
213,2014,SE,64,830,2392
214,2014,SP,307,5096,18366
215,2014,TO,117,1039,2012
216,2015,AC,20,428,637
217,2015,AL,118,921,1192
218,2015,AM,15,159,205
219,2015,AP,11,227,316
220,2015,BA,642,5551,9115
221,2015,CE,202,2190,3370
222,2015,DF,47,1003,1382
223,2015,ES,172,3717,6158
224,2015,GO,442,4878,7835
225,2015,MA,300,1583,2585
226,2015,MG,961,14580,16567
227,2015,MS,160,2150,3716
228,2015,MT,239,2714,4979
229,2015,PA,191,1561,3344
230,2015,PB,170,2075,3235
231,2015,PE,410,3366,6945
232,2015,PI,169,1486,2741
233,2015,PR,584,10015,16422
234,2015,RJ,401,6263,13268
235,2015,RN,185,1847,3154
236,2015,RO,111,1708,3031
237,2015,RR,31,292,443
238,2015,RS,396,5588,14941
239,2015,SC,462,9734,18842
240,2015,SE,67,708,1567
241,2015,SP,267,4757,12280
242,2015,TO,93,749,1044
243,2016,AC,23,346,396
244,2016,AL,104,882,1014
245,2016,AM,22,181,228
246,2016,AP,16,216,226
247,2016,BA,610,5128,6395
248,2016,CE,224,2190,2903
249,2016,DF,58,1148,1279
250,2016,ES,187,3553,3042
251,2016,GO,351,4554,5973
252,2016,MA,221,1407,1721
253,2016,MG,830,14163,15072
254,2016,MS,146,2073,3336
255,2016,MT,220,2386,4236
256,2016,PA,184,1512,2253
257,2016,PB,156,1790,1995
258,2016,PE,386,3139,4031
259,2016,PI,149,1463,1596
260,2016,PR,652,9792,12805
261,2016,RJ,370,5711,6700
262,2016,RN,144,1728,1525
263,2016,RO,102,1572,2184
264,2016,RR,24,331,324
265,2016,RS,348,5725,10517
266,2016,SC,450,9424,12240
267,2016,SE,57,663,861
268,2016,SP,255,4788,8489
269,2016,TO,109,804,963
270,2017,AC,18,325,407
271,2017,AL,102,848,947
272,2017,AM,14,93,167
273,2017,AP,9,195,186
274,2017,BA,594,4726,5401
275,2017,CE,190,1800,2316
276,2017,DF,46,1142,1385
277,2017,ES,201,3436,2829
278,2017,GO,344,4248,4851
279,2017,MA,246,1483,1829
280,2017,MG,869,13174,13343
281,2017,MS,162,2133,2116
282,2017,MT,191,2580,4509
283,2017,PA,162,1441,1823
284,2017,PB,139,1770,2116
285,2017,PE,343,3091,3911
286,2017,PI,209,1578,1701
287,2017,PR,612,9516,12567
288,2017,RJ,341,5667,6616
289,2017,RN,139,1567,1413
290,2017,RO,119,1787,2328
291,2017,RR,37,355,283
292,2017,RS,391,5593,8268
293,2017,SC,381,9773,12300
294,2017,SE,51,635,931
295,2017,SP,255,4631,7803
296,2017,TO,82,730,956
297,2018,AC,26,297,266
298,2018,AL,91,758,659
299,2018,AM,17,139,168
300,2018,AP,15,227,270
301,2018,BA,456,4307,3761
302,2018,CE,180,1746,1775
303,2018,DF,44,946,1080
304,2018,ES,133,3289,2392
305,2018,GO,282,3883,3633
306,2018,MA,231,1344,1467
307,2018,MG,693,11102,8979
308,2018,MS,109,1864,1551
309,2018,MT,229,2563,2712
310,2018,PA,143,1347,1423
311,2018,PB,133,1696,1552
312,2018,PE,296,2752,2887
313,2018,PI,159,1458,1506
314,2018,PR,494,8345,8433
315,2018,RJ,276,5028,5005
316,2018,RN,118,1600,1370
317,2018,RO,91,1821,2036
318,2018,RR,22,283,260
319,2018,RS,314,4772,5217
320,2018,SC,386,9249,8947
321,2018,SE,41,605,548
322,2018,SP,207,4538,5193
323,2018,TO,85,667,772
324,2019,AC,24,331,200
325,2019,AL,97,740,571
326,2019,AM,18,96,98
327,2019,AP,16,150,148
328,2019,BA,475,4324,3642
329,2019,CE,157,1966,1665
330,2019,DF,51,1257,1281
331,2019,ES,146,3449,2526
332,2019,GO,277,3990,3318
333,2019,MA,196,1179,1169
334,2019,MG,676,11416,8188
335,2019,MS,124,1753,1488
